t,p,tf,noise_percentage
5,1,0,100
4,4,1,100
3,1,0,100
6,12,0,100
3,1,0,100
0,1,0,100
10,1,0,100
6,1,0,100
0,1,0,100
13,4,0,100
9,1,0,100
7,4,0,100
10,4,0,100
11,4,0,100
6,1,0,100
2,1,0,100
7,4,0,100
3,1,0,100
14,1,0,100
9,1,0,100
13,4,0,100
5,1,0,100
2,4,0,100
12,4,0,100
13,1,0,100
0,1,0,100
6,12,0,100
2,4,0,100
10,4,0,100
1,1,1,100
11,4,0,100
14,4,0,100
0,1,0,100
8,4,0,100
9,1,0,100
14,1,0,100
9,1,0,100
12,1,0,100
0,1,0,100
8,1,0,100
7,4,0,100
1,1,1,100
14,1,0,100
11,4,0,100
13,1,0,100
9,1,0,100
9,1,0,100
9,4,0,100
11,1,0,100
2,1,0,100
8,1,0,100
8,4,0,100
11,4,0,100
5,1,0,100
12,4,0,100
4,4,1,100
10,4,0,100
2,4,0,100
12,4,0,100
9,1,0,100
1,1,1,100
10,1,0,100
14,4,0,100
7,4,0,100
12,4,0,100
14,1,0,100
9,1,0,100
2,4,0,100
13,1,0,100
1,1,1,100
2,4,0,100
13,4,0,100
4,4,1,100
10,4,0,100
4,4,1,100
14,1,0,100
6,4,0,100
0,1,0,100
1,1,1,100
1,1,1,100
2,4,0,100
0,1,0,100
1,1,1,100
1,1,1,100
3,1,0,100
5,1,0,100
11,1,0,100
13,4,0,100
10,1,0,100
9,1,0,100
9,1,0,100
0,1,0,100
12,4,0,100
11,4,0,100
13,4,0,100
12,4,0,100
6,4,0,100
11,4,0,100
9,1,0,100
13,4,0,100
4,4,1,100
13,13,1,100
5,1,0,100
10,1,0,100
1,1,1,100
14,1,0,100
3,1,0,100
1,4,0,100
0,4,0,100
5,1,0,100
5,4,0,100
3,1,0,100
2,4,0,100
9,1,0,100
4,1,0,100
6,4,0,100
8,1,0,100
7,4,0,100
11,4,0,100
12,1,0,100
9,1,0,100
1,1,1,100
13,1,0,100
3,4,0,100
5,1,0,100
6,11,0,100
8,1,0,100
1,1,1,100
6,4,0,100
2,1,0,100
2,4,0,100
2,4,0,100
12,4,0,100
4,1,0,100
7,1,0,100
4,4,1,100
9,4,0,100
3,1,0,100
3,4,0,100
9,1,0,100
7,1,0,100
14,1,0,100
11,4,0,100
3,1,0,100
1,1,1,100
3,1,0,100
5,1,0,100
13,4,0,100
9,1,0,100
8,1,0,100
9,1,0,100
4,1,0,100
11,4,0,100
9,1,0,100
10,4,0,100
13,4,0,100
11,4,0,100
0,1,0,100
9,4,0,100
9,1,0,100
13,1,0,100
14,1,0,100
2,1,0,100
0,1,0,100
3,1,0,100
14,1,0,100
12,4,0,100
13,4,0,100
7,4,0,100
8,1,0,100
8,1,0,100
11,1,0,100
2,1,0,100
10,1,0,100
14,1,0,100
1,1,1,100
3,4,0,100
14,1,0,100
8,1,0,100
14,1,0,100
9,1,0,100
5,4,0,100
14,1,0,100
5,4,0,100
12,1,0,100
0,1,0,100
4,1,0,100
1,1,1,100
2,1,0,100
9,1,0,100
9,1,0,100
14,4,0,100
11,1,0,100
10,1,0,100
0,4,0,100
9,1,0,100
14,4,0,100
7,1,0,100
2,4,0,100
13,4,0,100
13,4,0,100
1,1,1,100
0,1,0,100
1,1,1,100
1,1,1,100
13,4,0,100
11,1,0,100
5,1,0,100
5,1,0,100
7,4,0,100
3,1,0,100
13,1,0,100
6,4,0,100
12,4,0,100
5,4,0,100
6,4,0,100
12,1,0,100
4,1,0,100
9,1,0,100
0,4,0,100
14,1,0,100
9,1,0,100
13,4,0,100
12,4,0,100
9,1,0,100
3,1,0,100
7,4,0,100
4,1,0,100
10,4,0,100
1,1,1,100
5,1,0,100
9,1,0,100
11,4,0,100
3,4,0,100
14,1,0,100
6,4,0,100
14,1,0,100
11,4,0,100
10,1,0,100
10,1,0,100
13,4,0,100
1,1,1,100
4,1,0,100
3,1,0,100
12,1,0,100
10,1,0,100
7,4,0,100
14,1,0,100
3,1,0,100
12,1,0,100
2,4,0,100
4,4,1,100
13,4,0,100
8,1,0,100
13,4,0,100
12,4,0,100
4,1,0,100
1,1,1,100
12,4,0,100
5,4,0,100
3,4,0,100
10,1,0,100
6,1,0,100
1,1,1,100
13,4,0,100
8,1,0,100
4,4,1,100
12,1,0,100
13,4,0,100
12,4,0,100
11,1,0,100
9,1,0,100
11,4,0,100
9,1,0,100
5,1,0,100
10,4,0,100
4,4,1,100
1,1,1,100
9,1,0,100
12,4,0,100
8,4,0,100
10,4,0,100
0,0,1,100
11,4,0,100
11,4,0,100
4,4,1,100
2,4,0,100
10,4,0,100
5,1,0,100
4,1,0,100
0,1,0,100
